lat,long,url
47.3674,8.49491,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4838201?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=1&ct=142
47.40499,8.58891,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4384570?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=2&ct=142
47.42043,8.5039,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4849553?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=3&ct=142
47.36977,8.49212,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4773164?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=4&ct=142
47.3598,8.58187,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4851123?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=5&ct=142
47.39398,8.52525,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4798261?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=6&ct=142
47.41707,8.51373,https://www.immoscout24.ch/fr/d/objet-meuble-louer-zuerich/4793971?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=7&ct=142
47.36716,8.50876,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4846303?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=8&ct=142
47.36664,8.50815,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4858283?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=9&ct=142
47.41487,8.54404,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4852801?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=10&ct=142
47.41554,8.54777,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4851215?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=11&ct=142
47.4209,8.55141,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4861808?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=12&ct=142
47.39002,8.47037,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4856740?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=13&ct=142
47.34681,8.52624,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4863949?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=14&ct=142
47.40348,8.58124,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4839241?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=15&ct=142
